payCardBank,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,date,hour,day_of_week,is_weekend,trip_duration_min,trip_distance_km,avg_speed_kmh
dki,4E,Rusun Jatinegara Kaum - Pulo Gadung,1.0,B00041P,Ananda Pulo Gadung,-6.185254,106.90716,2,2023-04-20 16:50:59,B02847P,Pintu Kawasan 1,-6.189631,106.90646,4.0,2023-04-20 18:30:44,0.0,2023-04-20,16,Thursday,0,99.75,0.492813565866225,0.29642921255111276
dki,S31,Bintaro - Fatmawati,0.0,B00148P,Bintaro Xchange,-6.286813,106.72865,0,2023-04-20 16:51:15,B05488P,St. MRT Fatmawati,-6.292589,106.7936,2.0,2023-04-20 17:48:01,20000.0,2023-04-20,16,Thursday,0,56.766666666666666,7.2073120040604275,7.617828307286418
dki,JAK.23,Senen - Pisangan Baru,1.0,B06129P,BPPK Jakarta,-6.189843,106.858846,16,2023-04-20 16:18:30,B03201P,RSPAD 3,-6.175462,106.83922,32.0,2023-04-20 18:00:29,0.0,2023-04-20,16,Thursday,0,101.98333333333333,2.6952451971319142,1.5856974521449407
dki,6V,Ragunan - Gelora Bung Karno,0.0,P00053,Duren Tiga,-6.252377,106.82697,8,2023-04-20 17:39:56,P00254,Tendean,-6.240213,106.83102,10.0,2023-04-20 19:16:08,3500.0,2023-04-20,17,Thursday,0,96.2,1.4247330192193668,0.8886068726939917
dki,JAK.50,Kalideres - Puri Kembangan,1.0,B01334P,Jln. Madrasah I Bojong Raya,-6.168523,106.7341,11,2023-04-20 17:12:30,B04479P,Sbr. SMPN 205,-6.170212,106.70691,38.0,2023-04-20 18:40:08,0.0,2023-04-20,17,Thursday,0,87.63333333333334,3.0117417205425165,2.062052147956078
online,M4,Pulo Gadung 2 - Dukuh Atas 2,1.0,P00269,Velodrome,-6.193468,106.8883,10,2023-04-20 17:58:56,P00193,Pulo Gadung 2,-6.183098,106.90872,15.0,2023-04-20 19:02:23,3500.0,2023-04-20,17,Thursday,0,63.45,2.534824965804278,2.3969976035974256
dki,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00485P,Gg. H. Yusuf Jati Pdang,-6.292902,106.8287,13,2023-04-20 17:03:09,B01407P,Jln. Mujair Raya,-6.299485,106.83347,16.0,2023-04-20 18:21:21,0.0,2023-04-20,17,Thursday,0,78.2,0.9020858426993646,0.6921374752169037
dki,JAK.17,Senen - Pulo Gadung,1.0,B03329P,SD Paskalis 1,-6.177104,106.84827,7,2023-04-20 17:06:07,B05108P,Simpang Rawasari Ahmad Yani,-6.187726,106.87473,33.0,2023-04-20 18:29:47,0.0,2023-04-20,17,Thursday,0,83.66666666666667,3.154563661929581,2.2622368890331654
dki,1P,,1.0,B00222P,Bundaran Senayan 2,-6.227877,106.80068,3,2023-04-20 17:20:54,B00694P,Grand Sahid,-6.210975,106.82059,10.0,2023-04-20 18:19:22,3500.0,2023-04-20,17,Thursday,0,58.46666666666667,2.894131059921136,2.9700318744914735
online,5F,Kampung Melayu - Tanah Abang,0.0,B05925P,Yayasan Muhammadiyah 2,-6.196871,106.81431,23,2023-04-20 17:27:51,B03297P,Rusun Tanah Abang 2,-6.192171,106.81474,25.0,2023-04-20 19:27:19,3500.0,2023-04-20,17,Thursday,0,119.46666666666667,0.5247734638859816,0.263558101282022
dki,JAK.11,Tanah Abang - Kebayoran Lama,1.0,B03150P,RS Medika Permata Hijau 3,-6.218375,106.77849,11,2023-04-20 16:47:51,B00876P,Jln. Asshofa Raya,-6.213287,106.78166,16.0,2023-04-20 17:56:20,0.0,2023-04-20,16,Thursday,0,68.48333333333333,0.6654887518269155,0.5830517173465309
emoney,JAK.112,Terminal Tanah Merah - Pulo Gadung,0.0,B04854P,Simpang Jln. Bongo Raya,-6.170743,106.91001,17,2023-04-20 17:02:14,B04360P,Sbr. SDN Pegangsaan Dua 07,-6.175269,106.91112,21.0,2023-04-20 18:30:51,0.0,2023-04-20,17,Thursday,0,88.61666666666666,0.5180123914395843,0.3507324824492202
emoney,6D,Stasiun Tebet - Karet via Underpass,0.0,B03305P,Sahid Sudirman Center,-6.211191,106.81794,12,2023-04-20 16:08:00,B01834P,Karet Pedurenan 2,-6.221462,106.82109,14.0,2023-04-20 17:34:45,3500.0,2023-04-20,16,Thursday,0,86.75,1.1939849976263266,0.8258109493669118
online,JAK.08,Roxy - Benhil,0.0,B05453P,St. Karet,-6.200377,106.81546,24,2023-04-20 17:43:46,B01904P,Kel. Benhil,-6.201552,106.80809,27.0,2023-04-20 19:17:54,0.0,2023-04-20,17,Thursday,0,94.13333333333334,0.8251216806323447,0.5259274168336474
flazz,7D,,0.0,B05745P,TIS Square,-6.243169,106.84798,1,2023-04-20 17:26:34,B01416P,Jln. Nangka,-6.306392,106.89015,23.0,2023-04-20 19:18:43,3500.0,2023-04-20,17,Thursday,0,112.15,8.43486128587793,4.512631985311421
dki,JAK.112,Terminal Tanah Merah - Pulo Gadung,0.0,B00169P,Boulevard Janur Elok Raya 1,-6.150581,106.90954,5,2023-04-20 17:45:27,B05150P,Simpang Seruling Musik Raya,-6.17436,106.9095,22.0,2023-04-20 19:22:12,0.0,2023-04-20,17,Thursday,0,96.75,2.6441078585145217,1.639756811481874
emoney,11K,Rusun Komarudin - Penggilingan,1.0,P00169,Penggilingan,-6.214132,106.93961,0,2023-04-20 16:55:43,B03281P,Rusun Komarudin,-6.208781,106.94252,1.0,2023-04-20 18:45:58,0.0,2023-04-20,16,Thursday,0,110.25,0.6763921336559773,0.3681045625338652
emoney,,,1.0,B03183P,RS Tria Dipa,-6.250297,106.84261,13,2023-04-20 17:00:08,B02972P,Pospol Jati Bunder,-6.189707,106.81317,46.0,2023-04-20 18:15:49,3500.0,2023-04-20,17,Thursday,0,75.68333333333334,7.482094445393086,5.931631799915241
dki,8C,Kebayoran Lama - Tanah Abang,0.0,B01974P,Kesatrian Kowal Cut Nyak Dhien,-6.194307,106.81436,22,2023-04-20 16:11:34,B02972P,Pospol Jati Bunder,-6.189707,106.81317,27.0,2023-04-20 17:59:00,3500.0,2023-04-20,16,Thursday,0,107.43333333333334,0.5281422517382801,0.2949599916627068
emoney,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,B01795P,Kalibata City 2,-6.255816,106.85237,6,2023-04-20 17:33:35,B05517P,STEKPI,-6.255574,106.84966,8.0,2023-04-20 19:17:06,0.0,2023-04-20,17,Thursday,0,103.51666666666667,0.300750184250701,0.17431986206770628
dki,10B,Rusun Cipinang Besar Selatan - Penas Kalimalang,1.0,B05535P,STMT Trisakti 1,-6.231933,106.87782,4,2023-04-20 16:50:15,B03270P,Rusun Cipinang Besar Selatan,-6.231625,106.88288,6.0,2023-04-20 18:19:02,0.0,2023-04-20,16,Thursday,0,88.78333333333333,0.5603691471406865,0.3786988792390598
emoney,5,Matraman Baru - Ancol,1.0,P00142,Pal Putih,-6.184631,106.84402,7,2023-04-21 05:31:42,P00253,Tegalan,-6.203101,106.85715,12.0,2023-04-21 06:20:12,3500.0,2023-04-21,5,Friday,0,48.5,2.5149012049870194,3.111217985550952
dki,6C,Stasiun Tebet - Karet via Patra Kuningan,0.0,B01963P,Kemenkes 2,-6.2287,106.83302,13,2023-04-21 05:34:07,B03307P,Sampoerna Strategic,-6.217152,106.81892,21.0,2023-04-21 06:27:12,3500.0,2023-04-21,5,Friday,0,53.083333333333336,2.019436706771581,2.2825658224105783
dki,R1A,Pantai Maju - Kota,0.0,B00499P,Gg. Kunir II,-6.133132,106.81435,38,2023-04-21 05:00:07,B04962P,Simpang Kunir Kemukus,-6.133731,106.81475,39.0,2023-04-21 05:25:33,3500.0,2023-04-21,5,Friday,0,25.433333333333334,0.07995019533062052,0.18861120785729613
flazz,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0.0,B05587P,Taman Elok 1,-6.195743,106.93526,23,2023-04-21 06:48:26,B03090P,Raya Penggilingan,-6.183068,106.93194,29.0,2023-04-21 07:10:11,3500.0,2023-04-21,6,Friday,0,21.75,1.4563984410914965,4.017650871976542
flazz,12,Tanjung Priok - Pluit,0.0,P00239,Sunter Boulevard Barat,-6.14965,106.889,5,2023-04-21 05:33:09,P00098,Kali Besar Barat,-6.135355,106.81143,15.0,2023-04-21 06:18:36,3500.0,2023-04-21,5,Friday,0,45.45,8.721936064727323,11.514107016141681
dki,1T,Cibubur - Balai Kota,0.0,B00127P,Benhil 3,-6.21601,106.81632,3,2023-04-21 05:24:31,B00694P,Grand Sahid,-6.210975,106.82059,6.0,2023-04-21 06:05:39,20000.0,2023-04-21,5,Friday,0,41.13333333333333,0.7322887587219985,1.0681683676658
emoney,JAK.18,Kalibata - Kuningan,0.0,B00243P,Cervino Village,-6.224355,106.85165,25,2023-04-21 05:07:51,B04699P,Simpang Al Barkah Dr Saharjo,-6.220395,106.84653,40.0,2023-04-21 06:02:58,0.0,2023-04-21,5,Friday,0,55.11666666666667,0.717082595710049,0.7806160703223998
dki,JAK.03,,1.0,B03416P,SDN Pondok Labu 11,-6.313269,106.80221,2,2023-04-21 06:59:48,B00899P,Jln. Baros,-6.311046,106.784,12.0,2023-04-21 07:58:28,0.0,2023-04-21,6,Friday,0,58.666666666666664,2.027707142262238,2.0737913954954705
dki,B14,Bekasi Barat - Kuningan,1.0,B00795P,Imperium,-6.210363,106.83059,1,2023-04-21 05:15:17,B01853P,Kayuringin 2,-6.245948,106.99247,16.0,2023-04-21 06:09:39,20000.0,2023-04-21,5,Friday,0,54.36666666666667,18.3262601966519,20.225179861418408
dki,1Q,Rempoa - Blok M,0.0,B05781P,TPU Bungur,-6.247208,106.77889,15,2023-04-21 05:25:05,B06578P,Blok M Jalur 3,-6.243426,106.80188,24.0,2023-04-21 06:21:20,3500.0,2023-04-21,5,Friday,0,56.25,2.575762048984172,2.74747951891645
dki,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,B05433P,Pegangsaan Timur,-6.199263,106.84205,17,2023-04-21 06:15:49,B02387P,Matraman 4,-6.199782,106.8545,23.0,2023-04-21 07:06:53,3500.0,2023-04-21,6,Friday,0,51.06666666666667,1.3774902317951978,1.6184611078533655
emoney,M7B,BKN - Blok M,1.0,P00254,Tendean,-6.240213,106.83102,12,2023-04-21 06:17:44,P00129,Mampang Prapatan,-6.242699,106.82572,14.0,2023-04-21 07:10:44,,2023-04-21,6,Friday,0,53.0,0.647782547913702,0.7333387334872099
dki,,,1.0,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,2023-04-21 05:18:54,P00216,Semanggi,-6.22111,106.81354,6.0,2023-04-21 06:03:57,3500.0,2023-04-21,5,Friday,0,45.05,2.6051507511762035,3.469679135861759
dki,4,Pulo Gadung 2 - Tosari,1.0,P00159,Pasar Rumput,-6.207125,106.84112,2,2023-04-21 05:19:40,P00135,Matraman 2,-6.19891,106.8545,4.0,2023-04-21 06:02:38,3500.0,2023-04-21,5,Friday,0,42.96666666666667,1.7384162480838279,2.427578934484787
online,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,2023-04-21 06:15:03,B01062P,Jln. Gabus Raya,-6.301222,106.83623,17.0,2023-04-21 06:44:19,0.0,2023-04-21,6,Friday,0,29.266666666666666,1.8554889681930922,3.803963716113401
dki,S22,Ciputat - Kampung Rambutan,0.0,B05291P,SMK Darussalam,-6.319946,106.74598,1,2023-04-21 05:11:13,B03032P,Pusdiklat Kemenag 1,-6.312075,106.75228,3.0,2023-04-21 05:41:39,3500.0,2023-04-21,5,Friday,0,30.433333333333334,1.118392617011459,2.2049361562109815
brizzi,13,Ciledug - Tendean,1.0,P00096,JORR,-6.236104,106.75488,10,2023-04-21 06:29:51,P00001,Adam Malik,-6.236466,106.74786,11.0,2023-04-21 07:23:18,3500.0,2023-04-21,6,Friday,0,53.45,0.7770124791069245,0.8722310336092698
online,9E,Kebayoran Lama - Jelambar,1.0,B00058P,Apartemen Simprug Teras,-6.232197,106.78874,19,2023-04-21 06:39:41,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,20.0,2023-04-21 07:24:57,3500.0,2023-04-21,6,Friday,0,45.266666666666666,0.9212458506793274,1.2210917019313619
flazz,M9,Pinang Ranti - Pluit,1.0,P00093,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,2023-04-21 05:59:58,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,16.0,2023-04-21 06:57:59,3500.0,2023-04-21,5,Friday,0,58.016666666666666,13.469619636319315,13.930086380565797
dki,JAK.88,Terminal Tanjung Priok - Ancol Barat,0.0,B00722P,Gunung Sahari Mangga Dua Timur,-6.137032,106.83254,20,2023-04-21 05:37:36,B05989P,Jln. Ancol Barat 6,-6.12481,106.81983,36.0,2023-04-21 06:30:50,0.0,2023-04-21,5,Friday,0,53.233333333333334,1.954877489870264,2.203368492026597
emoney,T11,Poris Plawad - Bundaran Senayan,1.0,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,2023-04-21 05:25:35,B05720P,Term. Poris Plawad,-6.172859,106.66501,24.0,2023-04-21 06:09:27,3500.0,2023-04-21,5,Friday,0,43.86666666666667,14.619927260051163,19.996860993990953
emoney,JAK.16,Cililitan - Condet,0.0,B02144P,Lippo Mall Kramat Jati,-6.270835,106.86741,4,2023-04-21 06:20:20,B01393P,Jln. Mesjid Al Mabruk,-6.28435,106.85293,20.0,2023-04-21 06:54:58,0.0,2023-04-21,6,Friday,0,34.63333333333333,2.195413407645817,3.803411100830097
flazz,6V,Ragunan - Gelora Bung Karno,0.0,P00259,Tirtayasa,-6.239207,106.80777,12,2023-04-21 05:53:15,P00133,Masjid Agung,-6.236483,106.79845,13.0,2023-04-21 06:20:35,3500.0,2023-04-21,5,Friday,0,27.333333333333332,1.0738060600966017,2.3571352538705894
emoney,11Q,Kampung Melayu - Pulo Gebang via BKT,0.0,B02335P,Masjid Jami At Taqwa 2,-6.229704,106.8962,18,2023-04-21 06:34:12,B05256P,SMAN 100,-6.228401,106.88494,21.0,2023-04-21 07:19:32,3500.0,2023-04-21,6,Friday,0,45.333333333333336,1.2530673609567895,1.6584715071486917
dki,JAK.02,Kampung Melayu - Duren Sawit,0.0,B05023P,Simpang Pahlawan Revolusi 1,-6.238658,106.899461,28,2023-04-21 05:54:55,B03135P,RS Duren Sawit 2,-6.232262,106.91019,39.0,2023-04-21 06:44:25,0.0,2023-04-21,5,Friday,0,49.5,1.3828566590067572,1.6761898897051604
dki,11,Pulo Gebang - Matraman,0.0,P00233,St. Jatinegara 2,-6.215601,106.86805,13,2023-04-21 06:37:59,P00086,Jatinegara RS Premier,-6.221412,106.86807,14.0,2023-04-21 07:23:46,3500.0,2023-04-21,6,Friday,0,45.78333333333333,0.6461575008660245,0.846802694982777
flazz,1C,Pesanggrahan - Blok M,0.0,B05833P,Univ. Moestopo Bintaro,-6.258469,106.76529,1,2023-04-21 05:59:43,B00147P,Bintaro Park VIew,-6.257977,106.75969,5.0,2023-04-21 06:28:04,3500.0,2023-04-21,5,Friday,0,28.35,0.621393729854066,1.3151190049821502
dki,3B,Rusun Flamboyan - Cengkareng,0.0,B06299P,Jln. Kayu Besar Dalam,-6.122739,106.73129,2,2023-04-21 05:33:00,B02195P,Mall Taman Palem 3,-6.140548,106.73011,6.0,2023-04-21 06:25:03,0.0,2023-04-21,5,Friday,0,52.05,1.9845631000172848,2.2876808069363515
emoney,R1A,Pantai Maju - Kota,0.0,B06040P,Pantai Maju,-6.093637,106.75068,0,2023-04-21 05:04:11,B03322P,SD Diakonia 1,-6.112155,106.7893,23.0,2023-04-21 05:51:10,3500.0,2023-04-21,5,Friday,0,46.983333333333334,4.740560187850159,6.053925745392186
dki,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00001P,18 Office Park,-6.299146,106.8321,19,2023-04-21 06:56:51,B00536P,Gg. Puskesmas Kebagusan Raya,-6.296645,106.8273,21.0,2023-04-21 07:45:12,0.0,2023-04-21,6,Friday,0,48.35,0.5989861976785049,0.7433127582359936
dki,7E,Kampung Rambutan - Ragunan,0.0,B02831P,Phe Tower Kebagusan,-6.299876,106.83323,16,2023-04-21 06:38:20,B02868P,Plaza Oleos,-6.29771,106.82965,17.0,2023-04-21 07:14:11,3500.0,2023-04-21,6,Friday,0,35.85,0.46321309002531624,0.7752520335151736
dki,1P,Senen - Blok M,0.0,B00102P,Balai Kota 1,-6.180598,106.82847,12,2023-04-21 06:49:03,B00221P,Bundaran Senayan 1,-6.227445,106.80187,29.0,2023-04-21 07:17:46,3500.0,2023-04-21,6,Friday,0,28.716666666666665,5.981768072505952,12.498180534545229
emoney,7D,Pancoran - Kampung Rambutan,0.0,P00039,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,2023-04-21 06:46:05,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13.0,2023-04-21 07:19:44,3500.0,2023-04-21,6,Friday,0,33.65,1.577354232150937,2.8125186903137065
emoney,6H,Senen - Lebak Bulus,1.0,P00128,Lebak Bulus,-6.289413,106.77415,0,2023-04-21 06:23:51,P00121,Kuningan Timur,-6.234731,106.82902,15.0,2023-04-21 07:04:58,3500.0,2023-04-21,6,Friday,0,41.11666666666667,8.587976124734675,12.532109464549993
dki,14,Jakarta International Stadium - Senen,1.0,B01311P,Jln. Kwitang Timur,-6.173788,106.85185,2,2023-04-21 05:23:25,B03885P,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3.0,2023-04-21 06:09:56,3500.0,2023-04-21,5,Friday,0,46.516666666666666,0.3674977793378868,0.4740207830943721
flazz,BW9,Monas - Pantai Indah Kapuk,1.0,B02476P,Monas 2,-6.175999,106.82311,7,2023-04-21 05:34:34,B02477P,Monas 3,-6.178787,106.82304,8.0,2023-04-21 06:25:05,0.0,2023-04-21,5,Friday,0,50.516666666666666,0.31010802331898485,0.3683236172709817
flazz,JIS3,Harmoni - Jakarta International Stadium,0.0,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,2023-04-21 05:50:07,P00161,Pecenongan,-6.16771,106.82819,12.0,2023-04-21 06:35:03,3500.0,2023-04-21,5,Friday,0,44.93333333333333,3.357900395195691,4.483843257679706
dki,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,B02994P,PTUN Jakarta,-6.196388,106.84025,16,2023-04-21 06:39:11,B05707P,Term. Kampung Melayu 2,-6.224516,106.86685,30.0,2023-04-21 07:31:23,3500.0,2023-04-21,6,Friday,0,52.2,4.292849680148973,4.9343099771827275
dki,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-21 05:40:38,P00137,Monas,-6.176248,106.82286,19.0,2023-04-21 06:28:32,3500.0,2023-04-21,5,Friday,0,47.9,3.903224263201461,4.889216196076987
flazz,JAK.15,Bulak Turi - Tanjung Priok,0.0,B02761P,Pertamina Kilang Minyak,-6.108789,106.90537,41,2023-04-21 05:40:41,B01056P,Jln. Elpa Putih II,-6.110053,106.88721,50.0,2023-04-21 06:18:27,0.0,2023-04-21,5,Friday,0,37.766666666666666,2.0127444983212226,3.1976523362561347
emoney,,,1.0,B00917P,Jln. BB Utara,-6.120279,106.79409,12,2023-04-21 05:16:18,B00242P,Centro Metro Broadway,-6.116362,106.76143,29.0,2023-04-21 06:02:05,3500.0,2023-04-21,5,Friday,0,45.78333333333333,3.6371133826389577,4.766511895704495
dki,6N,Ragunan - Blok M via Kemang,0.0,B00039P,Ampera Garden,-6.288794,106.81818,6,2023-04-21 05:25:24,B00066P,Arsip Nasional RI 1,-6.279439,106.81987,10.0,2023-04-21 05:52:05,3500.0,2023-04-21,5,Friday,0,26.683333333333334,1.0568661325327868,2.376463508505954
dki,M11,Pulo Gebang - Pulo Gadung 2,0.0,P00102,Kampung Sumur,-6.214412,106.91189,6,2023-04-21 06:01:53,P00058,Flyover Klender,-6.213596,106.90306,7.0,2023-04-21 06:51:16,3500.0,2023-04-21,6,Friday,0,49.38333333333333,0.9802905940331199,1.1910381837729436
dki,JAK.112,Terminal Tanah Merah - Pulo Gadung,0.0,B01067P,Jln. Gading Mas Barat IV,-6.167384,106.91019,14,2023-04-21 05:11:22,B04854P,Simpang Jln. Bongo Raya,-6.170743,106.91001,17.0,2023-04-21 05:42:55,0.0,2023-04-21,5,Friday,0,31.55,0.37403346793444187,0.7113156284014742
emoney,9N,,0.0,P00064,Garuda Taman Mini,-6.290154,106.88116,1,2023-04-21 05:42:19,P00016,BKN,-6.257751,106.87,2.0,2023-04-21 06:05:06,3500.0,2023-04-21,5,Friday,0,22.783333333333335,3.8083452367014337,10.029292503383438
dki,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,B03675P,Sbr. Jln. Cikoko Timur I,-6.244364,106.85867,19,2023-04-21 06:37:22,B05440P,St. Duren Kalibata 4,-6.255071,106.85506,23.0,2023-04-21 07:36:01,0.0,2023-04-21,6,Friday,0,58.65,1.2556536937433538,1.2845562084330986
dki,JAK.42,Kampung Melayu - Pondok Kelapa,1.0,B03484P,Sbr. Dirjen Anggaran,-6.227253,106.898692,18,2023-04-21 05:28:46,B03953P,Sbr. Klinik Win Medika,-6.22016,106.89843,22.0,2023-04-21 06:00:27,0.0,2023-04-21,5,Friday,0,31.683333333333334,0.7892371680099759,1.4946101024912746
dki,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-21 06:36:51,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-21 07:30:20,3500.0,2023-04-21,6,Friday,0,53.483333333333334,3.3769336618388555,3.788395507204699
emoney,13,Ciledug - Tendean,1.0,P00044,CSW 1,-6.23994,106.79843,3,2023-04-21 05:01:36,P00268,Velbak,-6.239433,106.78552,5.0,2023-04-21 05:53:04,3500.0,2023-04-21,5,Friday,0,51.46666666666667,1.4281354824235468,1.664924785208798
emoney,7P,Pondok Kelapa - BKN,1.0,B02032P,Komplek Dolog Jaya,-6.24794,106.91572,15,2023-04-21 06:08:23,B01624P,Jln. Swakarsa III Pondok Kelapa,-6.244759,106.94249,30.0,2023-04-21 06:58:31,3500.0,2023-04-21,6,Friday,0,50.13333333333333,2.9800821404451963,3.5665876680860062
brizzi,JAK.02,Kampung Melayu - Duren Sawit,0.0,B02665P,Ps. Pondok Bambu 1,-6.238102,106.90243,29,2023-04-21 06:30:59,B00636P,Gereja Santa Anna 1,-6.233953,106.90998,33.0,2023-04-21 07:08:32,0.0,2023-04-21,6,Friday,0,37.55,0.9535839434339299,1.5237027058864396
emoney,JAK.36,Cilangkap - Cililitan,0.0,B02638P,Ps. Kramat Jati 2,-6.269037,106.86664,40,2023-04-21 05:21:35,B01428P,Jln. Olahraga 1 Raya Bogor,-6.267006,106.86595,41.0,2023-04-21 05:48:38,0.0,2023-04-21,5,Friday,0,27.05,0.23836690740979613,0.528725118099363
dki,13B,Puri Beta - Pancoran Barat,1.0,P00106,Kebayoran Lama,-6.23834,106.77752,8,2023-04-21 05:29:36,P00096,JORR,-6.236104,106.75488,12.0,2023-04-21 06:05:47,3500.0,2023-04-21,5,Friday,0,36.18333333333333,2.5148719355226556,4.170216014685197
dki,1Q,Rempoa - Blok M,1.0,B02540P,One Park Residences,-6.245436,106.78844,9,2023-04-21 05:52:27,B00959P,Jln. Bungur,-6.247708,106.7814,11.0,2023-04-21 06:47:59,3500.0,2023-04-21,5,Friday,0,55.53333333333333,0.818147015353918,0.8839523575252415
dki,JAK.06,Kampung Rambutan - Pondok Gede,0.0,B01301P,Jln. Kramat Lubang Buaya,-6.291363,106.90599,12,2023-04-21 06:48:41,B02767P,Pertigaan Cedang 1,-6.301603,106.9125,24.0,2023-04-21 07:48:39,0.0,2023-04-21,6,Friday,0,59.96666666666667,1.3469187110071448,1.3476674151266597
dki,JAK.14,Tanah Abang - Meruya,1.0,B01875P,Kec. Kembangan,-6.195068,106.74247,7,2023-04-21 05:09:43,B01180P,Jln. Jeruk Manis,-6.197439,106.76534,18.0,2023-04-21 05:37:43,0.0,2023-04-21,5,Friday,0,28.0,2.5418811301040773,5.446888135937309
emoney,M7,Kampung Rambutan - Monas,0.0,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,14,2023-04-21 05:52:30,P00025,Bundaran HI,-6.193021,106.823,24.0,2023-04-21 06:31:12,3500.0,2023-04-21,5,Friday,0,38.7,6.048469832478249,9.37747260849341
dki,JAK.15,Bulak Turi - Tanjung Priok,0.0,B05351P,SMPN 143,-6.108442,106.93549,16,2023-04-21 05:08:53,B01325P,Jln. Lorong 22,-6.108141,106.89932,44.0,2023-04-21 05:44:41,0.0,2023-04-21,5,Friday,0,35.8,3.999226323799031,6.702613950501171
online,T21,Palem Semi - Bundaran Senayan,1.0,B00589P,GBK Pintu 7,-6.222095,106.80861,3,2023-04-21 06:40:25,B02556P,Palem Semi 1,-6.218812,106.61807,14.0,2023-04-21 07:35:40,20000.0,2023-04-21,6,Friday,0,55.25,21.06550233675499,22.87656362362533
emoney,12A,Pelabuhan Kaliadem - Kota,0.0,B05324P,SMKN 56,-6.119094,106.79423,9,2023-04-21 05:51:33,P00138,Museum Fatahillah,-6.13393,106.81209,18.0,2023-04-21 06:23:45,3500.0,2023-04-21,5,Friday,0,32.2,2.573035469650266,4.794476030404222
dki,9D,Pasar Minggu - Tanah Abang,0.0,B00693P,Grand Pasar Minggu,-6.290648,106.84236,45,2023-04-21 06:54:27,B02647P,Pasar Minggu,-6.284413,106.84414,47.0,2023-04-21 07:27:45,3500.0,2023-04-21,6,Friday,0,33.3,0.7206737205763697,1.2985112082457113
emoney,1,Blok M - Kota,1.0,P00104,Karet Sudirman,-6.212457,106.82003,14,2023-04-21 06:51:04,P00133,Masjid Agung,-6.236483,106.79845,19.0,2023-04-21 07:20:27,3500.0,2023-04-21,6,Friday,0,29.383333333333333,3.5815650417849194,7.313462365527912
dki,3A,Rusun Pesakih - Kalideres,1.0,B02760P,Pertamina Kalideres Daan Mogot,-6.15571,106.70927,2,2023-04-21 06:06:17,B03286P,Rusun Pesakih,-6.161468,106.71698,4.0,2023-04-21 06:39:07,0.0,2023-04-21,6,Friday,0,32.833333333333336,1.066048626421888,1.948109165034922
emoney,6N,Ragunan - Blok M via Kemang,1.0,B04209P,Sbr. Plaza Kemang 88,-6.270024,106.81553,12,2023-04-21 06:46:51,B03197P,RSIA Kemang,-6.285839,106.8188,18.0,2023-04-21 07:30:26,3500.0,2023-04-21,6,Friday,0,43.583333333333336,1.7953048910907026,2.4715478424193225
dki,3C,Rusun Kapuk Muara - Penjaringan,1.0,P00170,Penjaringan,-6.126306,106.79203,0,2023-04-21 05:32:26,B03277P,Rusun Kapuk Muara,-6.135667,106.76299,1.0,2023-04-21 05:52:50,0.0,2023-04-21,5,Friday,0,20.4,3.3751469670650067,9.926902844308843
emoney,M8,Lebak Bulus - Pasar Baru,0.0,P00245,Tanah Kusir Kodim,-6.256997,106.78168,20,2023-04-21 06:19:45,P00184,Pondok Indah 1,-6.286761,106.77999,22.0,2023-04-21 06:56:57,3500.0,2023-04-21,6,Friday,0,37.2,3.3148729655005487,5.346569299194433
emoney,B21,Bekasi Timur - Cawang,1.0,B02263P,Masjid Amar Maruf 2,-6.255062,107.02206,7,2023-04-21 06:01:38,B05622P,Taman Margahayu 2,-6.24846,107.02153,10.0,2023-04-21 06:23:31,3500.0,2023-04-21,6,Friday,0,21.883333333333333,0.7364426888098611,2.0191878748785226
